sire,total_runs,total_top3,top3_rate,win_rate,avg_distance,weighted_dist_sum,best_distance,best_dist_cat,win_return_pct,place_return_pct
スクリーンヒーロー,3254,808,0.24830977258758452,0.07652120467117395,1671.39827904118,1366010,1691,mile,73.7,84.7
マジェスティックウォリアーMajestic Warrior(米),3191,685,0.2146662488248198,0.07082419304293325,1637.1670322782827,1139210,1663,mile,78.0,84.3
ブラックタイド,3161,635,0.20088579563429296,0.059474849731097755,1781.110408098703,1187430,1870,intermediate,76.7,81.4
エイシンフラッシュ,3051,474,0.1553588987217306,0.04981973123566044,1726.437233693871,858870,1812,intermediate,75.1,68.7
シルバーステート,2879,651,0.22612018061827024,0.06946856547412296,1636.5821465786732,1092970,1679,mile,70.5,79.9
ミッキーアイル,2814,703,0.2498223169864961,0.07960199004975124,1434.278606965174,1008660,1435,mile,72.1,80.6
ヴィクトワールピサ,2810,508,0.1807829181494662,0.051601423487544484,1730.4661921708184,893300,1758,mile,72.2,75.1
パイロPyro(米),2801,690,0.24634059264548375,0.08068546947518743,1554.0521242413424,1080140,1565,mile,79.4,87.4
ホッコータルマエ,2779,630,0.22670025188916876,0.07484706729039223,1675.876214465635,1065450,1691,mile,85.6,86.3
イスラボニータ,2549,599,0.23499411533934877,0.07571596704590035,1525.880737544135,913440,1525,mile,75.7,81.7
キタサンブラック,2543,780,0.30672434132913884,0.12229650019661817,1787.4125049154543,1419540,1820,intermediate,84.7,78.8
マクフィMakfi(英),2438,487,0.19975389663658738,0.06070549630844955,1532.4692370795735,745800,1531,mile,86.4,82.7
リアルスティール,2368,658,0.2778716216216216,0.10557432432432433,1686.879222972973,1116880,1697,mile,91.4,87.0
アジアエクスプレス,2202,472,0.21435059037238874,0.06766575840145322,1452.8928247048138,676460,1433,mile,96.3,90.0
ディスクリートキャットDiscreet Cat(米),2151,470,0.21850302185030218,0.0697350069735007,1423.0543933054394,654200,1392,sprint,88.4,86.4
カレンブラックヒル,2116,411,0.194234404536862,0.06049149338374291,1496.0255198487712,603360,1468,mile,70.5,78.9
ビッグアーサー,2094,450,0.2148997134670487,0.06781279847182425,1318.8252148997135,571940,1271,sprint,76.2,76.1
リアルインパクト,2057,407,0.19786096256684493,0.06903257170636849,1572.328633932912,640500,1574,mile,88.0,77.5
ディープブリランテ,2048,345,0.16845703125,0.04443359375,1630.244140625,570120,1653,mile,83.5,75.9
ワールドエース,1989,321,0.16138763197586728,0.036701860231272,1658.0995475113123,558780,1741,mile,45.0,69.2
サトノダイヤモンド,1881,446,0.23710792131844763,0.07921318447634237,1780.9516214779374,800300,1794,mile,88.7,79.0
ダンカークDunkirk(米),1853,291,0.15704263356718834,0.05450620615218565,1649.919050188883,496170,1705,mile,95.4,78.9
ノヴェリストNovellist(愛),1801,339,0.18822876179900055,0.0555247084952804,1751.4769572459745,628090,1853,intermediate,74.1,83.4
アドマイヤムーン,1784,269,0.1507847533632287,0.03755605381165919,1517.3150224215246,419320,1559,mile,63.4,70.6
ストロングリターン,1774,266,0.14994363021420518,0.03494926719278467,1543.7091319052988,395440,1487,mile,57.1,67.4
コパノリッキー,1771,310,0.17504234895539245,0.06437041219649915,1526.9339356295877,473690,1528,mile,87.2,72.6
サトノアラジン,1716,355,0.20687645687645687,0.06118881118881119,1622.3543123543122,572760,1613,mile,75.3,76.7
アイルハヴアナザーI'll Have Another(米),1689,310,0.18354055654233273,0.06275902901124926,1690.5447010065127,519250,1675,mile,95.5,82.3
ラブリーデイ,1688,298,0.17654028436018956,0.0509478672985782,1665.527251184834,513540,1723,mile,72.9,83.5
マインドユアビスケッツMind Your Biscuits(米),1673,339,0.2026300059772863,0.07352062163777645,1628.290496114764,562570,1659,mile,96.0,81.7
クロフネ,1669,329,0.19712402636309168,0.06351108448172559,1717.4535650089874,579280,1761,mile,69.8,74.8
アメリカンペイトリオット,1643,327,0.19902617163724892,0.06390748630553865,1562.1119902617163,503620,1540,mile,73.9,78.1
デクラレーションオブウォー,1618,354,0.21878862793572312,0.07416563658838071,1661.7428924598269,597180,1687,mile,87.1,80.9
ブリックスアンドモルタルBricks and Mortar(米),1614,380,0.23543990086741015,0.07744733581164807,1750.3345724907063,663090,1745,mile,75.6,79.7
メイショウボーラー,1591,230,0.14456316781898176,0.039597737272155875,1470.791954745443,352350,1532,mile,77.7,71.9
ゴールドアリュール,1588,317,0.1996221662468514,0.06234256926952141,1602.2040302267003,517520,1633,mile,76.8,77.5
ダノンレジェンド,1575,373,0.23682539682539683,0.09015873015873016,1437.8031746031745,536000,1437,mile,91.9,83.8
マツリダゴッホ,1549,221,0.14267269205939315,0.040025823111684955,1625.2937378954164,369520,1672,mile,65.7,72.1
サトノクラウン,1506,245,0.16268260292164674,0.04648074369189907,1741.3545816733067,446470,1822,intermediate,64.7,74.3
