phase,par_blend,ability_bias_sec,transfer_strength,mae,score,w_surface_only,w_distance_only,w_both
1,1.0,0.5,0.0,39.90419169169169,40.00561549279983,,,
1,1.0,0.5,0.5,39.90419169169169,40.00561549279983,,,
1,1.0,1.0,0.5,39.946571571571575,40.045818753986396,,,
1,1.0,1.0,1.0,39.946571571571575,40.045818753986396,,,
1,1.0,1.0,0.0,39.946571571571575,40.045818753986396,,,
1,1.0,0.0,1.0,40.075838338338336,40.17649174001471,,,
1,1.0,0.0,0.5,40.075838338338336,40.17649174001471,,,
1,1.0,0.0,0.0,40.075838338338336,40.17649174001471,,,
1,1.0,-0.5,1.0,40.40474224224224,40.50814119969,,,
1,1.0,-0.5,0.5,40.40474224224224,40.50814119969,,,
1,1.0,-0.5,0.0,40.40474224224224,40.50814119969,,,
1,1.0,0.5,0.5,40.50995995995996,40.62687822229618,,,
1,1.0,0.5,1.0,40.50995995995996,40.62687822229618,,,
1,1.0,0.5,0.0,40.50995995995996,40.62687822229618,,,
1,1.0,1.0,1.0,40.58468468468468,40.70454698119943,,,
1,1.0,1.0,0.5,40.58468468468468,40.70454698119943,,,
1,1.0,1.0,0.0,40.58468468468468,40.70454698119943,,,
1,1.0,0.0,1.0,40.600175175175174,40.715627051522716,,,
1,1.0,0.0,0.5,40.600175175175174,40.715627051522716,,,
1,1.0,0.0,0.0,40.600175175175174,40.715627051522716,,,
1,1.0,0.5,1.0,40.70417917917918,40.82431058738718,,,
1,1.0,0.5,0.5,40.70417917917918,40.82431058738718,,,
1,1.0,0.5,0.0,40.70417917917918,40.82431058738718,,,
1,1.0,2.0,1.0,40.77087087087087,40.87168556081046,,,
1,1.0,2.0,0.5,40.77087087087087,40.87168556081046,,,
1,1.0,2.0,0.0,40.77087087087087,40.87168556081046,,,
1,1.0,0.0,0.5,40.79115365365365,40.90381111887277,,,
1,1.0,0.0,0.0,40.79115365365365,40.90381111887277,,,
1,1.0,0.0,1.0,40.79115365365365,40.90381111887277,,,
1,1.0,1.0,1.0,40.786574074074075,40.90655104334741,,,
1,1.0,1.0,0.0,40.786574074074075,40.90655104334741,,,
1,1.0,1.0,0.5,40.786574074074075,40.90655104334741,,,
1,1.0,-1.0,0.0,40.847472472472475,40.955978962626546,,,
1,1.0,-1.0,0.5,40.847472472472475,40.955978962626546,,,
1,1.0,-1.0,1.0,40.847472472472475,40.955978962626546,,,
1,1.0,-0.5,0.0,40.844644644644646,40.95646003241492,,,
1,1.0,-0.5,1.0,40.844644644644646,40.95646003241492,,,
1,1.0,-0.5,0.5,40.844644644644646,40.95646003241492,,,
1,1.0,-0.5,0.0,41.01552802802803,41.12792642664458,,,
1,1.0,-0.5,0.5,41.01552802802803,41.12792642664458,,,
1,1.0,-0.5,1.0,41.01552802802803,41.12792642664458,,,
1,1.0,-1.0,1.0,41.19129129129129,41.30319118093307,,,
1,1.0,-1.0,0.5,41.19129129129129,41.30319118093307,,,
1,1.0,-1.0,0.0,41.19129129129129,41.30319118093307,,,
1,1.0,-1.0,1.0,41.34227977977978,41.456864907210175,,,
